"","Corpus","Author","Year","Case"
"5503","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Nevada v Hicks.txt"
"5504","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"New Jersey v New York.txt"
"5505","SupremeCourtCorpusFinalEncoded","StevensCleaned","1984","New Jersey v T.L.O..txt"
"5506","SupremeCourtCorpusFinalEncoded","StevensCleaned","1985","New Jersey v T.L.O.(2).txt"
"5507","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"New Jersey v. Delaware.txt"
"5508","SupremeCourtCorpusFinalEncoded","StevensCleaned","1978","New Motor Vehicle Bd. v Orrin W. Fox Co..txt"
"5509","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"New Process Steel v. National Labor Relations Board.txt"
"5510","SupremeCourtCorpusFinalEncoded","StevensCleaned","1979","New York City Transit Authority v Beazer.txt"
"5511","SupremeCourtCorpusFinalEncoded","StevensCleaned","1980","New York Gaslight Club v Carey.txt"
"5512","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"New York State Board of Elections v. Torres.txt"
"5513","SupremeCourtCorpusFinalEncoded","StevensCleaned","1981","New York State Liquor Authority v Bellanca.txt"
"5514","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"New York Times v Tasini.txt"
