Feature,Mean Difference,Gender
distinguish,0.036057143,F
tenth,0.036,F
valuation,0.036,F
irs,0.03584,F
rights,0.035830769,F
ky,0.0358,F
prong,0.0358,F
typically,0.035733333,F
preferences,0.0357,F
distinguished,0.0356,F
ford,0.0355,F
moved,0.0355,F
regardless,0.0354,F
needs,0.035371429,F
market,0.035288889,F
randolph,0.0352,F
unenforceable,0.0352,F
consumer,0.035114286,F
seek,0.035088889,F
absent,0.03505,F
effectuate,0.035,F
evans,0.035,F
tenn,0.035,F
view,0.034984615,F
compliance,0.034925,F
profession,0.0349,F
impact,0.034888889,F
relationship,0.034888889,F
depriving,0.0348,F
mass,0.0346,F
objections,0.034533333,F
contractors,0.0345,F
founded,0.0345,F
withdraw,0.0345,F
assertion,0.0344,F
inmate,0.0344,F
rhode,0.0344,F
taken,0.034333333,F
regarding,0.034311111,F
blue,0.03428,F
sufficiently,0.0342,F
participate,0.034171429,F
miranda,0.034125,F
spouses,0.0341,F
devices,0.0341,F
prove,0.034088889,F
regulatory,0.034066667,F
contribution,0.034,F
carries,0.0338,F
suggests,0.0338,F
ten,0.0338,F
wages,0.0338,F
examined,0.03375,F
products,0.033714286,F
accounting,0.0335,F
reprinted,0.0335,F
inform,0.033433333,F
wilson,0.0334,F
therefore,0.0333,F
concerted,0.0332,F
conscience,0.0332,F
thompson's,0.0332,F
wide,0.033133333,F
identity,0.03308,F
approved,0.03305,F
barriers,0.033,F
industries,0.033,F
break,0.03295,F
idaho,0.032933333,F
bond,0.03292,F
shell,0.0329,F
accuracy,0.03288,F
guns,0.032866667,F
sess,0.03285,F
dc,0.0328,F
fatal,0.0328,F
massachusetts,0.032771429,F
agree,0.03274,F
decisis,0.032733333,F
board,0.032545455,F
income,0.03244,F
strongly,0.03244,F
discriminatory,0.0324,F
lewis,0.0324,F
pays,0.0324,F
occupants,0.0323,F
partisan,0.0323,F
proof,0.032288889,F
circuit’s,0.0322,F
motions,0.0322,F
forms,0.032171429,F
influence,0.032171429,F
maintained,0.03208,F
vacate,0.03204,F
asserts,0.032,F
held,0.031984615,F
phase,0.031971429,F
establishment,0.031925,F
barred,0.031914286,F
purposes,0.0319,F
abandon,0.0318,F
bacchus,0.0318,F
bakke,0.0318,F
carry,0.0318,F
federalism,0.031766667,F
pattern,0.031766667,F
bennett,0.0316,F
factor,0.0316,F
drugs,0.031514286,F
facts,0.031454545,F
applied,0.0314,F
dollar,0.0314,F
firearm,0.031371429,F
suit,0.03134,F
trust,0.031288889,F
delay,0.031275,F
copies,0.0312,F
economic,0.0312,F
lemon,0.0312,F
teacher,0.0311,F
misleading,0.03104,F
cadc,0.031,F
discrete,0.0309,F
fuel,0.0309,F
icc,0.0309,F
sanctioned,0.0309,F
schedule,0.0309,F
racial,0.030888889,F
retroactively,0.03088,F
schemes,0.03084,F
abroad,0.0308,F
operated,0.0308,F
sufficiency,0.0308,F
depend,0.030733333,F
affords,0.0307,F
negotiated,0.0307,F
preemption,0.0307,F
purchases,0.0307,F
restitution,0.0306,F
policy,0.030569231,F
appropriate,0.030545455,F
flat,0.0305,F
replaced,0.0305,F
yield,0.0305,F
broadcast,0.0304,F
emphasized,0.0304,F
injunction,0.0304,F
newspapers,0.0304,F
groups,0.0303,F
wage,0.03028,F
coa,0.030266667,F
coolidge,0.030266667,F
dna,0.030266667,F
arbitrators,0.0302,F
closure,0.0302,F
cone,0.0302,F
electors,0.0302,F
foia,0.0302,F
ftca,0.0302,F
intoxication,0.0302,F
jurek,0.0302,F
study,0.030142857,F
deleted,0.03008,F
plans,0.03005,F
green,0.03004,F
old,0.03,F
hereinafter,0.029914286,F
indicate,0.029914286,F
confer,0.02984,F
electronic,0.0298,F
fda,0.0298,F
pay,0.0298,F
procedures,0.029777778,F
repose,0.02975,F
stare,0.029733333,F
unions,0.02964,F
policies,0.029625,F
ethnic,0.0295,F
operator,0.0295,F
also,0.029457143,F
assessed,0.0294,F
bribery,0.0294,F
stage,0.029371429,F
cong,0.029333333,F
invokes,0.0292,F
extent,0.029155556,F
artificial,0.0291,F
construed,0.029,F
vii,0.028933333,F
banks,0.0288,F
caldwell,0.0288,F
neglect,0.0288,F
wyoming,0.0288,F
amicus,0.028771429,F
doctor,0.0287,F
interim,0.0287,F
counsel's,0.0286,F
intellectual,0.0286,F
utah,0.0286,F
compact,0.028566667,F
harmless,0.028514286,F
negotiations,0.0285,F
rationally,0.0285,F
home,0.028488889,F
dangerousness,0.02848,F
incurred,0.02844,F
seventh,0.02844,F
va,0.028433333,F
declined,0.0284,F
twice,0.0284,F
monetary,0.0283,F
crown,0.0282,F
pool,0.0281,F
opportunity,0.028088889,F
ariz,0.028,F
contracting,0.028,F
n.e,0.028,F
op,0.028,F
documents,0.027971429,F
new,0.027953846,F
york,0.027927273,F
farmers,0.0279,F
bell,0.02784,F
immunities,0.02784,F
licensed,0.0278,F
retardation,0.0278,F
apprendi,0.0277,F
alter,0.0276,F
shaw,0.0276,F
defining,0.027571429,F
trials,0.027542857,F
week,0.0275,F
lucas,0.0273,F
severe,0.027233333,F
illustrate,0.0272,F
opposition,0.027166667,F
racially,0.02716,F
reaffirmed,0.0271,F
remanding,0.0271,F
difficulties,0.02704,F
placing,0.02704,F
promotion,0.02704,F
plead,0.027,F
encompass,0.02695,F
faa,0.026933333,F
religion,0.026875,F
privileges,0.026828571,F
emotional,0.0268,F
meaningless,0.0268,F
squarely,0.0268,F
commencement,0.0267,F
emphasizes,0.0267,F
legitimacy,0.0267,F
losses,0.0267,F
employed,0.026625,F
looked,0.0266,F
decades,0.026533333,F
arrangements,0.0265,F
wash,0.0265,F
minorities,0.026466667,F
responsibility,0.026422222,F
promptly,0.0264,F
permits,0.026375,F
estelle,0.0263,F
expressing,0.0263,F
league,0.0263,F
municipal,0.026275,F
familiar,0.0262,F
disclosure,0.026114286,F
utilities,0.0261,F
establishing,0.026028571,F
communities,0.026,F
ellis,0.026,F
operations,0.026,F
sanction,0.026,F
their,0.025957143,F
goldberg,0.0259,F
veterans,0.02584,F
bring,0.0258,F
disparity,0.0258,F
lives,0.0258,F
precedents,0.025775,F
rec,0.025766667,F
sovereignty,0.025714286,F
murders,0.0257,F
excess,0.02564,F
decrees,0.0256,F
corporation,0.025577778,F
spouse,0.025542857,F
conspiracy,0.025514286,F
expertise,0.0255,F
acquittal,0.02544,F
accommodate,0.0254,F
purchasers,0.0254,F
kansas,0.025342857,F
told,0.025325,F
arbitrator,0.0252,F
violated,0.0252,F
alternative,0.025088889,F
re,0.025088889,F
substances,0.02504,F
pleaded,0.02495,F
continued,0.024942857,F
direction,0.024833333,F
determine,0.0247,F
prevail,0.02464,F
offence,0.0246,F
percentage,0.0246,F
remedial,0.024571429,F
california,0.024509091,F
taxpayer's,0.0245,F
competent,0.02444,F
fathers,0.0243,F
reserve,0.0242,F
center,0.024133333,F
city's,0.02404,F
outside,0.024,F
rose,0.024,F
advantage,0.023971429,F
chooses,0.02384,F
assault,0.023833333,F
agricultural,0.0238,F
contribute,0.0238,F
noting,0.023725,F
vested,0.0237,F
sector,0.0236,F
upset,0.0236,F
nevertheless,0.023425,F
sdny,0.0234,F
continue,0.023314286,F
dec,0.0232,F
young,0.023171429,F
nature,0.02314,F
charitable,0.02312,F
easier,0.0231,F
irwin,0.0231,F
lands,0.023085714,F
claimants,0.023,F
katz,0.023,F
management,0.023,F
uniformity,0.0228,F
operators,0.02275,F
coverage,0.022725,F
draws,0.0227,F
security,0.022688889,F
reliability,0.02268,F
contentions,0.0226,F
substitute,0.0226,F
analogous,0.022533333,F
blacks,0.0225,F
explained,0.0224,F
truck,0.0224,F
mississippi,0.022371429,F
generic,0.0223,F
penry,0.0223,F
robinson,0.0223,F
color,0.0222,F
flexible,0.0221,F
approve,0.022,F
acres,0.0218,F
clients,0.0218,F
commonwealth,0.021771429,F
act's,0.021742857,F
working,0.021733333,F
grounded,0.0217,F
disparate,0.021633333,F
gilbert,0.0216,F
injuries,0.021571429,F
exercise,0.021545455,F
accommodation,0.021533333,F
compared,0.0215,F
stressed,0.0215,F
kentucky,0.021333333,F
learn,0.0213,F
