Feature,Mean Difference,Gender
competing,0.007433333,F
colo,0.0074,F
facto,0.0074,F
objections,0.0074,F
quotation,0.0074,F
positions,0.00736,F
raised,0.007355556,F
restitution,0.0073,F
reg,0.007233333,F
ferguson,0.0072,F
permanent,0.0072,F
board's,0.007166667,F
shareholders,0.007133333,F
disease,0.0071,F
exceeds,0.0071,F
rico,0.007085714,F
reasonably,0.007066667,F
afdc,0.0069,F
admissible,0.00688,F
applicants,0.006857143,F
effects,0.006755556,F
resolution,0.00675,F
satisfied,0.00675,F
convey,0.0067,F
place,0.006636364,F
left,0.006622222,F
barriers,0.0066,F
stations,0.0066,F
voluntariness,0.0066,F
offset,0.0065,F
davis,0.006428571,F
ark,0.0064,F
comptroller,0.0064,F
hill,0.0063,F
seizure,0.0063,F
marks,0.00628,F
faith,0.006275,F
insanity,0.006266667,F
consistently,0.0062,F
div,0.0062,F
garcia,0.0062,F
invalidity,0.0062,F
remains,0.00615,F
excessive,0.006142857,F
icc,0.0061,F
further,0.006066667,F
workers,0.006066667,F
finally,0.006,F
historically,0.006,F
agency's,0.005933333,F
ore,0.005933333,F
adopting,0.0059,F
invention,0.0059,F
overt,0.0059,F
procedural,0.005888889,F
advertising,0.00585,F
retroactively,0.00576,F
past,0.005755556,F
flow,0.005733333,F
lockett,0.0057,F
charged,0.005666667,F
seventh,0.005657143,F
son,0.0056,F
pursue,0.005566667,F
concerns,0.005555556,F
declined,0.005542857,F
imprisonment,0.0055,F
patterson,0.0055,F
pricing,0.0055,F
specify,0.0055,F
commencement,0.0054,F
flexible,0.0054,F
identification,0.0054,F
strike,0.005366667,F
undisputed,0.00536,F
citizen,0.00535,F
powell,0.00535,F
specifies,0.0053,F
therein,0.0053,F
listed,0.00528,F
intervening,0.005266667,F
defer,0.00524,F
easily,0.005228571,F
proper,0.00522,F
jenkins,0.0052,F
tax,0.0052,F
burden,0.005127273,F
seniority,0.00512,F
areas,0.005114286,F
courtroom,0.0051,F
rhode,0.0051,F
offender,0.005085714,F
airlines,0.0049,F
fourth,0.0049,F
outset,0.00485,F
intellectual,0.0048,F
repose,0.0048,F
suspicion,0.004714286,F
incidents,0.0047,F
data,0.004685714,F
start,0.0046,F
survey,0.0046,F
utah,0.00452,F
felonies,0.0045,F
admitted,0.004425,F
consumption,0.0044,F
habeas,0.004381818,F
proceed,0.004314286,F
forfeited,0.0043,F
oct,0.0043,F
____,0.004257143,F
typical,0.00425,F
advertisements,0.0042,F
occupied,0.0042,F
employers,0.00415,F
july,0.004142857,F
offense,0.004109091,F
revision,0.0041,F
insurance,0.004066667,F
tolling,0.004028571,F
equities,0.004,F
affirmative,0.00395,F
training,0.003933333,F
initiated,0.0039,F
student,0.0039,F
contend,0.003885714,F
injuries,0.003857143,F
concepts,0.0038,F
subsidiaries,0.0038,F
intention,0.003766667,F
effectively,0.003742857,F
electronic,0.0037,F
harms,0.0037,F
acted,0.003657143,F
facially,0.00365,F
promotion,0.00364,F
concurring,0.003636364,F
scheme,0.003622222,F
asbestos,0.0036,F
district's,0.0036,F
substitute,0.0036,F
week,0.0036,F
alabama,0.003575,F
prosecutors,0.003566667,F
restricted,0.00355,F
publication,0.0035,F
rape,0.0035,F
consistency,0.0035,F
al,0.003485714,F
federal,0.003433333,F
americans,0.0034,F
tangible,0.0034,F
initial,0.0033,F
navy,0.0033,F
extent,0.003288889,F
distinct,0.003285714,F
fairness,0.003285714,F
dept,0.00325,F
v,0.003233333,F
clause,0.003230769,F
compulsion,0.0032,F
endorse,0.0032,F
claims,0.003155556,F
causation,0.00312,F
qualifying,0.0031,F
granting,0.003085714,F
use,0.00308,F
dealer,0.003,F
recommendations,0.003,F
wainwright,0.003,F
compelling,0.002925,F
coercion,0.0029,F
achieving,0.0028,F
motors,0.0028,F
suspended,0.0028,F
overcome,0.00276,F
implemented,0.0027,F
incidental,0.0027,F
random,0.0026,F
sector,0.0026,F
decision,0.00255,F
defendant,0.00255,F
turned,0.00252,F
u.s,0.00252,F
job,0.002485714,F
assess,0.00244,F
sentences,0.0024,F
ambiguous,0.0024,F
juveniles,0.0024,F
looked,0.0024,F
responses,0.0024,F
bar,0.002355556,F
afforded,0.002333333,F
derivative,0.0023,F
working,0.002266667,F
co,0.00225,F
year,0.002236364,F
inadequate,0.002233333,F
designed,0.002222222,F
initiate,0.0022,F
pose,0.0022,F
possessing,0.0022,F
denied,0.00216,F
distinguished,0.00216,F
reporting,0.002133333,F
bonds,0.0021,F
entirety,0.002066667,F
secretary,0.00202,F
arm,0.002,F
latitude,0.002,F
taxpayer's,0.002,F
overall,0.00195,F
welfare,0.001925,F
dealers,0.0019,F
actors,0.0018,F
bradley,0.0018,F
conclusively,0.0018,F
frankfurter,0.0018,F
severity,0.0018,F
applied,0.001733333,F
mark,0.001733333,F
maximum,0.001725,F
evidence,0.0017,F
carrier,0.0017,F
adversely,0.001666667,F
reliability,0.00164,F
trading,0.0016,F
vary,0.0016,F
named,0.001566667,F
discharged,0.00156,F
hall,0.00155,F
entry,0.001525,F
exercise,0.0015,F
deferred,0.0014,F
develop,0.0014,F
hire,0.0014,F
ii,0.0014,F
promptly,0.0014,F
visitation,0.0014,F
abuse,0.00135,F
odds,0.0013,F
overbreadth,0.001266667,F
report,0.001266667,F
classified,0.0012,F
directly,0.00116,F
maintaining,0.00115,F
offenses,0.001133333,F
limitation,0.0011,F
price,0.0011,F
got,0.001,F
jurisdiction,0.001,F
minority,0.001,F
dismiss,9.67E-04,F
discovery,9.50E-04,F
listing,9.33E-04,F
october,9.33E-04,F
standards,9.33E-04,F
possessed,9.20E-04,F
unsuccessful,9.00E-04,F
voluntary,8.80E-04,F
intrusion,8.67E-04,F
pleading,8.33E-04,F
resource,8.00E-04,F
violates,8.00E-04,F
allowing,8.00E-04,F
debt,7.50E-04,F
back,7.33E-04,F
fixed,7.33E-04,F
secretary's,7.33E-04,F
determine,7.00E-04,F
land,7.00E-04,F
permitted,7.00E-04,F
truck,7.00E-04,F
amend,6.80E-04,F
generated,6.50E-04,F
commercial,6.00E-04,F
day,6.00E-04,F
insurer,6.00E-04,F
proof,6.00E-04,F
describing,5.50E-04,F
montana,5.50E-04,F
arrested,5.33E-04,F
disparity,5.00E-04,F
periods,5.00E-04,F
procedures,5.00E-04,F
render,5.00E-04,F
saw,5.00E-04,F
theories,5.00E-04,F
const,4.00E-04,F
defendants,4.00E-04,F
guns,4.00E-04,F
weight,4.00E-04,F
immunities,4.00E-04,F
parts,4.00E-04,F
wisconsin,4.00E-04,F
employ,3.50E-04,F
situated,3.00E-04,F
trucking,3.00E-04,F
required,3.00E-04,F
amdt,2.00E-04,F
available,2.00E-04,F
guilt,2.00E-04,F
identity,2.00E-04,F
obligation,2.00E-04,F
alleges,1.00E-04,F
