Feature,Mean Difference,Gender
imminent,0.0012,F
overbroad,0.0012,F
provider,0.0012,F
seaman,0.0012,F
drug,0.0011,F
incidents,0.0011,F
jury,0.0011,F
counsel’s,0.001085714,F
february,0.00104,F
day,0.001,F
doubt,0.001,F
entirety,0.001,F
testimony,0.001,F
governments,9.67E-04,F
abuse,9.50E-04,F
arizona,9.50E-04,F
date,9.33E-04,F
limitation,9.33E-04,F
commonly,9.00E-04,F
disparity,9.00E-04,F
ground,9.00E-04,F
carrier,8.67E-04,F
largely,8.67E-04,F
warnings,8.40E-04,F
invalidity,8.00E-04,F
supervisory,8.00E-04,F
violates,8.00E-04,F
addressed,7.33E-04,F
approval,7.33E-04,F
purely,7.33E-04,F
resolution,7.33E-04,F
o’connor,7.20E-04,F
consistency,7.00E-04,F
jersey,6.67E-04,F
reviewing,6.67E-04,F
smith,6.67E-04,F
heightened,6.40E-04,F
extent,6.00E-04,F
next,6.00E-04,F
prospective,6.00E-04,F
scheme,6.00E-04,F
august,5.67E-04,F
upholding,5.67E-04,F
extension,5.60E-04,F
participation,5.50E-04,F
acquittal,5.20E-04,F
visitation,4.67E-04,F
country,4.00E-04,F
dept,4.00E-04,F
fired,4.00E-04,F
inferred,4.00E-04,F
minority,4.00E-04,F
past,4.00E-04,F
render,4.00E-04,F
satisfy,4.00E-04,F
injured,4.00E-04,F
mobile,4.00E-04,F
preclude,4.00E-04,F
silent,3.33E-04,F
reads,2.67E-04,F
accorded,2.00E-04,F
allege,2.00E-04,F
cocaine,2.00E-04,F
highest,2.00E-04,F
proportionality,2.00E-04,F
reconsideration,2.00E-04,F
rico,2.00E-04,F
undertake,2.00E-04,F
ward,1.00E-04,F
