id,mean_diff,G
applicant,0.029233333,M
objectively,0.02915,M
chairman,0.0291,M
collateral,0.029075,M
almost,0.029066667,M
defaulted,0.029,M
begins,0.028933333,M
refuse,0.0289,M
uncertainty,0.0289,M
human,0.02885,M
south,0.02885,M
signs,0.0288,M
were,0.028781818,M
treating,0.02872,M
nonmembers,0.0286,M
always,0.028577778,M
receive,0.028577778,M
citizen,0.028525,M
assumptions,0.0285,M
associated,0.028485714,M
depends,0.028485714,M
appoint,0.0284,M
settled,0.028325,M
retroactive,0.028314286,M
washington,0.0283,M
decades,0.02824,M
blackmun,0.028233333,M
perception,0.0281,M
cite,0.028,M
invocation,0.028,M
patents,0.028,M
operating,0.02796,M
contract,0.027911111,M
aliens,0.02785,M
careful,0.027833333,M
pt,0.0278,M
restrictions,0.0278,M
torts,0.0278,M
brewer,0.0276,M
mar,0.02755,M
advisory,0.02752,M
apparently,0.027466667,M
contention,0.0274,M
allegation,0.02736,M
arbitrator,0.0273,M
motions,0.0273,M
attempt,0.027288889,M
contracts,0.027266667,M
assured,0.0272,M
facto,0.0272,M
legality,0.0272,M
existence,0.027133333,M
philadelphia,0.0271,M
sale,0.027088889,M
accordance,0.027085714,M
who,0.027054545,M
paul,0.027,M
tried,0.027,M
welfare,0.027,M
accepted,0.026925,M
broader,0.026914286,M
exposure,0.0269,M
older,0.0269,M
better,0.026888889,M
appellant,0.026828571,M
baldwin,0.0268,M
now,0.026709091,M
driver,0.0267,M
primarily,0.026675,M
object,0.026628571,M
california’s,0.0266,M
selected,0.0266,M
unless,0.02654,M
probably,0.0264,M
unequivocally,0.0264,M
trafficking,0.02635,M
enjoy,0.02628,M
meant,0.02625,M
law,0.026181818,M
argue,0.026125,M
beside,0.026,M
copyright,0.025925,M
successive,0.025866667,M
doubts,0.02584,M
patent,0.025775,M
douglas,0.02572,M
minimize,0.0257,M
require,0.025690909,M
nevada,0.02564,M
convincing,0.0256,M
residual,0.0256,M
advocacy,0.02555,M
blue,0.025533333,M
appointed,0.0254,M
sell,0.0254,M
interpretations,0.02532,M
murray,0.0253,M
unanimous,0.0253,M
wait,0.0252,M
amounted,0.0251,M
misrepresentation,0.025,M
discriminates,0.02495,M
eligibility,0.02492,M
limit,0.024866667,M
kind,0.024777778,M
persuaded,0.02476,M
compared,0.02468,M
unlawful,0.024644444,M
drawing,0.02464,M
formed,0.0246,M
supra,0.024581818,M
decides,0.024533333,M
reference,0.024533333,M
ultimate,0.024525,M
passage,0.024485714,M
substance,0.0244,M
sanctions,0.0244,M
allege,0.0243,M
hunt,0.0243,M
distinguishes,0.024266667,M
ballot,0.0242,M
holmes,0.02412,M
committees,0.0241,M
abroad,0.024,M
village,0.024,M
calculation,0.0239,M
simple,0.02385,M
tradition,0.023833333,M
municipal,0.023828571,M
rejecting,0.023828571,M
equally,0.023775,M
acceptable,0.02376,M
confessions,0.02375,M
publishing,0.0237,M
river,0.023628571,M
guidance,0.0236,M
unenforceable,0.0236,M
material,0.023577778,M
ii,0.023527273,M
focuses,0.0235,M
administrative,0.02342,M
medicaid,0.0232,M
medicare,0.0232,M
further,0.023181818,M
conducted,0.023114286,M
contemplated,0.0231,M
categorically,0.023,M
looked,0.023,M
remainder,0.023,M
sign,0.02295,M
factual,0.022866667,M
arrangement,0.0228,M
mitchell,0.0227,M
self,0.022644444,M
back,0.022577778,M
terms,0.022509091,M
borne,0.0225,M
exhaust,0.0225,M
venue,0.0225,M
debate,0.022428571,M
employee’s,0.0224,M
motors,0.0224,M
areas,0.022325,M
infringement,0.02232,M
prisons,0.0223,M
knowledge,0.022244444,M
sometimes,0.02215,M
save,0.022066667,M
excess,0.02204,M
concededly,0.022,M
agency,0.021981818,M
constituted,0.02196,M
relate,0.02195,M
foregoing,0.0219,M
felt,0.02188,M
reader,0.0218,M
warren,0.0218,M
extend,0.021675,M
dependent,0.02164,M
alien,0.0216,M
drafting,0.0216,M
export,0.0216,M
willing,0.021466667,M
adea,0.02144,M
marital,0.02144,M
brandeis,0.0214,M
surveillance,0.0214,M
turning,0.0214,M
strickland,0.021266667,M
paragraph,0.021257143,M
substantive,0.021244444,M
detroit,0.0212,M
foia,0.0212,M
bring,0.021175,M
surrounding,0.02116,M
arguably,0.021133333,M
books,0.02112,M
end,0.021111111,M
aguilar,0.021,M
duncan,0.021,M
grand,0.021,M
happened,0.021,M
page,0.02095,M
compensate,0.0209,M
detention,0.020875,M
plain,0.020822222,M
harper,0.0208,M
statements,0.0208,M
complex,0.0207,M
deduction,0.0207,M
facie,0.0207,M
pleadings,0.0207,M
wrongly,0.0206,M
entitle,0.0204,M
established,0.020327273,M
es,0.0203,M
last,0.020266667,M
ineligible,0.0202,M
purposeful,0.0202,M
december,0.02012,M
rail,0.0201,M
representative,0.020075,M
inapplicable,0.02004,M
origin,0.02004,M
are,0.020018182,M
lay,0.02,M
withhold,0.02,M
easily,0.0198,M
border,0.01975,M
critical,0.01975,M
TRUE,0.01974,M
subcontractor,0.0197,M
depart,0.0197,M
united,0.019654545,M
interpret,0.0196,M
unjust,0.0195,M
delay,0.01945,M
definition,0.019444444,M
employee,0.0194,M
mexico,0.019233333,M
practicable,0.0192,M
subsidiary,0.0192,M
thinks,0.0192,M
admits,0.0191,M
director,0.0191,M
draws,0.0191,M
ended,0.0191,M
citizens,0.019044444,M
mere,0.019044444,M
enter,0.019028571,M
contributions,0.019,M
medication,0.019,M
subdivisions,0.019,M
central,0.018933333,M
imposing,0.018885714,M
described,0.018866667,M
paying,0.01884,M
disabled,0.018833333,M
justified,0.01875,M
compiled,0.0187,M
confirmed,0.0187,M
nondiscriminatory,0.0187,M
comprehensive,0.018666667,M
probable,0.018644444,M
enumerated,0.0186,M
executing,0.0185,M
its,0.018436364,M
similar,0.01842,M
docket,0.0184,M
separately,0.01824,M
date,0.018177778,M
intrastate,0.01816,M
environment,0.018133333,M
constitutional,0.018109091,M
tenure,0.018066667,M
elect,0.01804,M
legislators,0.01804,M
emption,0.017942857,M
fill,0.01792,M
of,0.017909091,M
considers,0.01784,M
immigration,0.017833333,M
embrace,0.0178,M
advised,0.01775,M
average,0.0177,M
yet,0.0177,M
allegedly,0.017533333,M
motor,0.017525,M
games,0.0175,M
things,0.0174,M
felonies,0.0173,M
exclusion,0.017275,M
goes,0.017228571,M
expensive,0.0172,M
defect,0.01716,M
expressing,0.0171,M
favored,0.0171,M
sec,0.0171,M
issues,0.017044444,M
person’s,0.017,M
providers,0.017,M
recognize,0.017,M
survey,0.017,M
forfeiture,0.016914286,M
oppose,0.0168,M
delegated,0.01675,M
authorities,0.0166,M
creditor,0.0166,M
billing,0.0165,M
defects,0.0165,M
x,0.0165,M
retaliation,0.016485714,M
seek,0.016466667,M
transportation,0.0164,M
eye,0.0163,M
preferred,0.0163,M
complaints,0.016266667,M
distinguish,0.0162,M
enable,0.0162,M
relating,0.0162,M
justifies,0.01612,M
ftca,0.0161,M
jenkins,0.016,M
assigned,0.01588,M
confirm,0.015866667,M
chain,0.0158,M
no,0.015745455,M
relationships,0.0156,M
achieved,0.01555,M
involuntary,0.01555,M
authorizes,0.015514286,M
intervene,0.0155,M
s.e,0.0155,M
precedents,0.015422222,M
intelligence,0.0154,M
believing,0.0153,M
utterly,0.0153,M
explaining,0.015285714,M
length,0.015233333,M
relies,0.015222222,M
placed,0.015125,M
taxable,0.0151,M
awareness,0.0151,M
demonstrating,0.015,M
thing,0.014975,M
disposition,0.014925,M
accompanied,0.0149,M
alike,0.0149,M
fault,0.0149,M
helps,0.0149,M
formulation,0.014866667,M
willingness,0.0148,M
indeed,0.014781818,M
real,0.014666667,M
regulated,0.014628571,M
empirical,0.0146,M
subchapter,0.0146,M
proposition,0.014577778,M
whole,0.014577778,M
aware,0.01455,M
concerted,0.0145,M
suffers,0.0145,M
waiver,0.014325,M
unclear,0.01432,M
principled,0.014266667,M
outside,0.0142,M
secretary,0.0142,M
elementary,0.0141,M
endorsement,0.0141,M
loans,0.0141,M
somehow,0.01408,M
representation,0.01405,M
familiar,0.014,M
skinner,0.014,M
purposes,0.013981818,M
laches,0.01395,M
levels,0.01395,M
internet,0.0139,M
net,0.0139,M
erisa,0.013885714,M
impossible,0.013885714,M
evil,0.01375,M
valid,0.013711111,M
exceptional,0.0137,M
applying,0.013688889,M
bar,0.013688889,M
involve,0.01365,M
magistrate,0.013628571,M
pipeline,0.0136,M
terminate,0.01352,M
names,0.0135,M
qualifications,0.0135,M
age,0.01345,M
about,0.013418182,M
our,0.013381818,M
inherent,0.013285714,M
continue,0.0132,M
dismiss,0.0132,M
ricks,0.0132,M
taxes,0.013155556,M
insistence,0.013,M
sample,0.013,M
homosexual,0.0129,M
recall,0.012866667,M
dual,0.0128,M
foot,0.0128,M
threats,0.0128,M
resources,0.012725,M
sees,0.0127,M
unambiguously,0.0127,M
consequences,0.0126,M
fields,0.0126,M
all,0.012545455,M
raised,0.012525,M
naturalization,0.0125,M
act’s,0.01244,M
arkansas,0.0124,M
exists,0.012325,M
strictly,0.01232,M
suffices,0.0123,M
composition,0.0122,M
desired,0.0122,M
judge,0.012181818,M
admit,0.0121,M
feasible,0.0121,M
studies,0.0121,M
purchaser,0.012066667,M
delivery,0.012033333,M
foundation,0.012033333,M
diligence,0.012,M
subject,0.012,M
neither,0.011927273,M
concern,0.011911111,M
discern,0.0119,M
extended,0.011828571,M
selection,0.011828571,M
historic,0.0118,M
qualified,0.01175,M
recommendation,0.0117,M
iowa,0.011685714,M
guaranteed,0.0115,M
brown,0.01145,M
punishments,0.011433333,M
controlling,0.011428571,M
abusive,0.0114,M
plainly,0.0114,M
sensitive,0.0114,M
warden,0.0114,M
vote,0.011377778,M
produce,0.01135,M
let,0.0113,M
fraudulent,0.0112,M
market,0.011177778,M
avoids,0.011,M
feature,0.011,M
outset,0.0109,M
incarceration,0.0108,M
casts,0.0107,M
greatest,0.0107,M
authorizing,0.0106,M
