id,mean_diff,G
reed,0.0607,F
desire,0.060657143,M
exercise,0.060618182,F
whom,0.060525,M
judicial,0.060490909,M
seq,0.0604,F
said,0.0604,M
characterize,0.0603,F
instance,0.060177778,F
account,0.060111111,F
depending,0.0601,M
operate,0.060033333,F
after,0.06,M
contacts,0.0599,F
entered,0.059875,F
eligible,0.059828571,M
wildlife,0.0598,F
explain,0.0598,M
annual,0.05975,M
interstate,0.05972,M
off,0.059675,F
together,0.05965,M
shown,0.05945,F
disclosure,0.059428571,F
reason,0.059418182,M
deals,0.0594,M
subpoena,0.0594,M
discharge,0.059375,M
inform,0.059333333,F
repeatedly,0.059314286,F
adverse,0.0593,F
racially,0.0593,F
governments,0.059285714,F
fear,0.059257143,M
innocence,0.059228571,F
question,0.059181818,M
recognizes,0.059175,F
ends,0.05915,F
board,0.059109091,F
refusing,0.0591,F
followed,0.05905,M
she,0.058977778,F
link,0.058727273,F
people,0.058644444,M
reasonably,0.0586,F
recorded,0.0586,F
heightened,0.05852,F
authority,0.0584,M
chosen,0.058342857,F
had,0.0582,F
business,0.058181818,F
routinely,0.05815,F
commentaries,0.05815,M
delegation,0.058133333,M
administrator,0.058085714,M
visited,0.058,F
detainees,0.058,M
forcing,0.058,M
extremely,0.05795,F
hospitals,0.0579,M
agreed,0.05785,F
rarely,0.0577,F
themselves,0.057666667,M
eleventh,0.0576,F
haslip,0.0576,F
implementing,0.0576,F
series,0.0575,M
holds,0.057466667,F
vacate,0.05744,F
behind,0.0574,F
influenced,0.0573,F
promised,0.0572,M
unacceptable,0.0572,M
unsupported,0.0571,F
emphasis,0.057072727,M
distress,0.057,F
objected,0.057,M
majority's,0.056911111,M
comparable,0.056885714,M
particularized,0.056866667,F
coal,0.0568,M
total,0.056685714,M
thereby,0.056666667,M
puerto,0.056633333,F
choices,0.05655,M
four,0.056511111,F
engineers,0.0565,M
measures,0.056485714,F
considered,0.056472727,M
arizona,0.05645,F
enforced,0.056433333,F
kidnaping,0.0564,F
ordering,0.0564,M
burke,0.0562,M
press,0.0561,M
joint,0.056085714,F
specify,0.05608,M
and,0.056,F
convicted,0.055977778,F
interior,0.05595,M
obscenity,0.0559,M
begin,0.055885714,M
discharges,0.0558,M
reviewable,0.0558,M
realistic,0.0557,F
might,0.055690909,M
moore,0.0556,F
underlying,0.055511111,F
plan,0.0555,M
discussion,0.055475,M
northern,0.05544,M
excessive,0.055428571,F
ex,0.055422222,M
african,0.0554,F
suppose,0.0554,M
item,0.05532,M
kan,0.0553,F
indirect,0.0553,M
drawn,0.0552,F
victim,0.055125,F
argues,0.055125,M
scene,0.055,F
driven,0.055,M
performing,0.05495,F
definite,0.0549,F
mitigation,0.0549,F
sic,0.0549,M
somewhat,0.054857143,M
fine,0.0548,F
rigid,0.0548,F
advertisement,0.0547,F
defeat,0.0547,F
sentencer,0.0547,F
demanded,0.0547,M
design,0.054657143,F
especially,0.05465,F
suffered,0.054628571,F
diverse,0.0546,F
transport,0.0546,F
one,0.054509091,M
dissenting,0.054418182,F
override,0.0544,F
individual’s,0.0544,M
main,0.0543,F
ny,0.0543,M
amici,0.054285714,F
rulemaking,0.0542,M
unfortunate,0.0542,M
temporary,0.05412,F
prosecutor,0.0541,F
invalidation,0.054066667,M
substantial,0.05406,F
buckley,0.05404,F
incidental,0.054,F
uniformly,0.054,F
dismissed,0.054,M
penal,0.053933333,F
dealt,0.0539,M
permit,0.053866667,M
changed,0.0538,F
considerably,0.0538,F
angeles,0.0538,M
aedpa,0.05372,M
assessment,0.0537,M
return,0.053675,F
unconstitutional,0.053644444,M
municipalities,0.0536,M
fiduciary,0.05356,M
misconduct,0.0535,F
danger,0.053485714,F
classified,0.0534,M
therein,0.0534,M
circuit's,0.05336,F
gas,0.053325,F
assessing,0.05332,F
initiative,0.0533,F
introduction,0.0533,F
freely,0.0533,M
stands,0.05324,M
function,0.0532,F
behalf,0.05315,F
attorney’s,0.05315,M
deter,0.05312,F
another,0.053036364,M
spouse,0.053033333,M
dispute,0.053,F
preliminary,0.053,F
interpreting,0.053,M
relied,0.052977778,F
world,0.052914286,M
allowing,0.0529,F
floor,0.0529,M
inconsistency,0.052866667,M
looking,0.05284,M
steps,0.05284,M
judicially,0.0528,F
prudential,0.0528,F
infer,0.0527,F
analysis,0.052690909,M
employed,0.052675,F
saying,0.052657143,M
claimants,0.0526,F
theoretical,0.0526,F
novel,0.052533333,M
magnitude,0.0525,F
distinguishable,0.0525,M
equitable,0.052466667,F
assn,0.05245,M
due,0.052436364,F
implemented,0.0524,M
mine,0.0524,M
omitted,0.052381818,F
created,0.052288889,M
deliver,0.0522,M
individuals,0.052177778,M
interim,0.05215,F
elaborate,0.052,M
articles,0.05195,M
proc,0.051933333,F
presumably,0.051875,M
took,0.051875,M
psychologist,0.0518,F
previously,0.051777778,M
includes,0.051775,M
ferguson,0.0517,F
branch,0.051685714,M
cited,0.051525,M
carry,0.05145,F
obscene,0.0514,M
suspected,0.0513,F
promote,0.0512,F
inmate,0.0512,F
fewer,0.0511,F
relates,0.0511,F
sent,0.0511,F
based,0.051090909,F
result,0.051090909,M
months,0.05105,F
distribution,0.051,M
bills,0.051,F
stolen,0.051,F
cadc,0.0509,F
dicta,0.0509,M
extent,0.050888889,M
pa,0.050866667,F
element,0.050822222,F
anti,0.05072,M
demand,0.050714286,M
center,0.0507,F
seemingly,0.0507,M
performed,0.050628571,M
option,0.0506,F
statewide,0.0506,F
patterson,0.05055,F
statistics,0.05052,F
diversity,0.050514286,F
extensive,0.0505,F
foreign,0.0505,F
subsequently,0.0505,F
seized,0.05044,M
analyzing,0.0504,M
t,0.050381818,M
seven,0.05032,F
succeed,0.0503,F
war,0.0503,M
inmates,0.050285714,F
restraint,0.050228571,M
individual,0.050218182,M
dwelling,0.0502,F
alleges,0.0502,M
newspaper,0.0501,F
questioning,0.049885714,M
pregnancy,0.049857143,F
uniformity,0.04984,F
newly,0.049666667,M
forced,0.049657143,M
supplement,0.0496,F
moot,0.04952,M
longer,0.049475,M
edwards,0.049433333,M
families,0.0492,M
ever,0.04915,M
genuine,0.04912,F
embodied,0.04912,M
rightly,0.0491,F
orderly,0.0491,M
closely,0.049066667,F
regardless,0.04905,F
absolutely,0.04904,M
secures,0.049,M
november,0.0489,F
pertinent,0.0489,M
bennett,0.0488,F
complained,0.0488,F
fela,0.0488,F
recovery,0.048775,F
repair,0.04875,F
parts,0.048714286,M
harm,0.048711111,F
periods,0.04864,F
concrete,0.0486,F
job,0.0486,F
trials,0.0486,F
increased,0.0486,M
shapiro,0.0485,F
compels,0.0485,M
classes,0.0484,F
key,0.0484,F
happens,0.0484,M
thought,0.048377778,M
resolution,0.04835,F
psychological,0.0483,F
griffin,0.04824,F
al,0.048228571,F
delayed,0.0482,M
carries,0.04812,F
deterrent,0.0481,M
alabama,0.04795,F
support,0.047927273,M
flag,0.0479,F
distinguishing,0.04784,F
virtue,0.04784,F
given,0.047836364,M
customer,0.0478,M
charged,0.047777778,F
amend,0.0477,M
overriding,0.047666667,F
identity,0.0475,F
infra,0.047428571,M
killing,0.0474,F
offices,0.0474,F
checks,0.0474,M
ltd,0.04735,F
examples,0.047314286,M
harris,0.0473,F
investors,0.0473,M
regulate,0.047288889,M
policies,0.047275,F
invoking,0.047266667,M
contemporary,0.0472,F
ambiguity,0.0472,M
green,0.04712,M
tailoring,0.0471,F
offender,0.047085714,F
preventing,0.047033333,M
aid,0.047028571,F
notion,0.047028571,F
mode,0.047,M
moreover,0.04698,F
develop,0.04692,F
nd,0.0469,F
proposal,0.04684,F
willful,0.04684,F
establish,0.0468,M
arrest,0.04675,F
through,0.046727273,M
refers,0.046725,M
declare,0.0465,M
relief,0.046454545,F
instances,0.04645,F
shift,0.0464,M
containing,0.04635,M
abortions,0.0463,F
york's,0.0463,F
experienced,0.0462,F
unnecessarily,0.0462,F
voted,0.0462,F
pregnant,0.04616,F
parties,0.046109091,M
consumers,0.0461,F
meaningless,0.0461,M
restrain,0.0461,M
ones,0.04604,M
reaches,0.046028571,M
issue,0.045981818,M
agree,0.04598,F
grievance,0.04595,M
birth,0.045866667,F
though,0.045818182,M
tender,0.0458,F
wished,0.0458,M
related,0.04574,F
wish,0.04572,M
requires,0.045709091,M
k,0.045685714,F
identify,0.045628571,M
contain,0.0456,M
safe,0.04555,F
firm,0.0455,M
away,0.045485714,F
look,0.04545,M
message,0.045433333,M
mixed,0.0454,M
various,0.0454,M
precludes,0.0454,F
affords,0.0453,F
ethnic,0.0453,F
generic,0.0453,F
gates,0.0453,M
presumptively,0.0453,M
ford,0.04524,M
admitted,0.0452,F
repeal,0.0452,F
supplies,0.0452,F
impair,0.0451,M
bivens,0.045066667,M
basis,0.045054545,M
industries,0.04504,F
csa,0.045,M
truth,0.044914286,F
papers,0.0449,M
founded,0.0449,F
foreclose,0.0449,M
nat,0.0449,M
faithful,0.044866667,M
child's,0.0448,F
proved,0.044714286,F
applicants,0.0447,F
weeks,0.04468,F
subsequent,0.044675,M
oil,0.04465,F
ago,0.04465,M
fears,0.0446,F
sue,0.0446,F
raise,0.04455,M
utility,0.04452,F
defined,0.044488889,M
dr,0.044428571,M
compel,0.0444,F
lake,0.0444,F
prosecutorial,0.0444,F
imprisoned,0.0444,M
waters,0.044257143,F
utah,0.04424,F
authorization,0.044233333,M
advertising,0.0442,F
spoken,0.0442,M
obliged,0.0441,F
discriminated,0.0441,M
responsible,0.044085714,F
maryland,0.044075,M
deems,0.044066667,F
timely,0.044033333,F
boundary,0.044,M
approximately,0.0439,F
emotional,0.0439,F
suspend,0.0439,M
professional,0.043885714,F
internal,0.04382,F
computer,0.0438,F
regents,0.0438,F
debates,0.0438,M
taxed,0.0438,M
fee,0.043777778,M
classifications,0.0437,F
theories,0.0437,F
worst,0.0436,M
federal,0.043581818,F
suggest,0.043577778,M
accommodate,0.0435,F
associates,0.0435,F
listing,0.0435,F
preferences,0.0435,F
lease,0.0434,F
negotiations,0.0434,F
enjoin,0.0434,M
own,0.043381818,M
achieving,0.0433,F
n.y,0.0433,M
civ,0.04324,F
harbor,0.0432,F
requirements,0.04316,F
substances,0.04312,M
delays,0.0431,M
purport,0.0431,M
shall,0.043018182,M
transcripts,0.043,F
injured,0.0429,F
moral,0.0429,F
exception,0.04286,M
bail,0.0428,M
ala,0.04272,F
offense,0.042709091,F
lexis,0.0427,F
reporting,0.0427,F
street,0.0427,M
government's,0.04265,F
earn,0.0426,F
showed,0.0426,F
warrant,0.0426,F
unwilling,0.0426,M
oregon,0.04256,F
media,0.0425,F
highest,0.04244,F
trying,0.04244,M
clear,0.042418182,M
october,0.04235,M
theory,0.042266667,F
expenses,0.04225,M
late,0.042233333,M
factfinding,0.0422,F
insurer,0.0422,F
indictment,0.0422,M
prefer,0.0422,M
invasion,0.0421,M
exclusionary,0.04204,F
report,0.04204,F
quantity,0.042,M
frequently,0.042,M
bay,0.0419,M
respecting,0.0419,M
registration,0.0418,F
transfers,0.0418,M
add,0.04176,M
admiralty,0.0417,F
banc,0.0417,F
statutorily,0.041666667,M
them,0.041618182,M
framers,0.0416,M
expressly,0.041577778,F
burdensome,0.04155,F
insurers,0.0415,F
beneficiary,0.0415,M
immediate,0.041457143,F
acknowledge,0.04144,F
subdivision,0.04144,M
specifying,0.0414,F
wishes,0.04132,F
copies,0.0413,F
el,0.0413,M
development,0.041275,F
u,0.041181818,F
judges,0.041177778,M
speech,0.041109091,M
balancing,0.0411,F
promulgate,0.0411,M
solely,0.04105,F
probation,0.04104,F
ratification,0.041033333,M
amendments,0.040975,M
terminated,0.0409,M
conducting,0.0409,M
foreclosed,0.040866667,M
appears,0.040777778,M
regime,0.040733333,F
repealed,0.0407,M
roberts,0.040666667,M
shareholders,0.04064,F
evident,0.040533333,F
affirm,0.0405,F
burglary,0.0405,F
placement,0.0405,F
legally,0.040433333,M
programming,0.0404,F
commission’s,0.0404,M
party,0.0404,M
institution,0.04036,M
superfluous,0.04035,M
charges,0.0403,F
supervisor,0.0403,F
recently,0.040285714,F
portion,0.04025,M
dictionary,0.040228571,M
intention,0.040228571,M
accords,0.0402,F
commitment,0.0402,F
indifference,0.0402,F
international,0.04015,F
built,0.0401,F
compulsory,0.0401,M
wife,0.0401,M
inquiry,0.040022222,F
examined,0.03995,F
departure,0.039925,M
jefferson,0.0399,M
directly,0.039777778,F
slip,0.03975,F
identifying,0.03968,F
narrow,0.03965,M
homicide,0.0396,F
elimination,0.0396,M
encompass,0.03952,F
security,0.039511111,F
carried,0.0395,F
motives,0.0395,M
early,0.039485714,M
fair,0.039466667,M
case,0.039454545,M
organized,0.0394,M
marshals,0.0394,F
